z,val,err,probe,type,RA,DEC
0.01636,34.1062,0.281582,sne_ia,mu,202.687,32.7618
0.01619,34.4137,0.34637,sne_ia,mu,187.841,29.1344
0.01595,33.9999,0.334729,sne_ia,mu,70.035,7.35
0.0157,34.1608,0.218117,sne_ia,mu,318.437,13.576
0.01612,33.9726,0.41528,sne_ia,mu,356.783,29.4865
0.01581,34.2793,0.261916,sne_ia,mu,75.8962,1.5715
0.01633,34.3408,0.198023,sne_ia,mu,330.418,-21.5082
0.0163,33.8985,0.245383,sne_ia,mu,274.898,23.7862
0.01632,34.1679,0.246475,sne_ia,mu,36.8407,-23.9287
0.01646,34.4649,0.358327,sne_ia,mu,6.3194,12.8868
0.01646,34.5341,0.341619,sne_ia,mu,6.3194,12.8868
0.01601,33.9673,0.284408,sne_ia,mu,16.8346,32.3997
0.0161,33.841,0.289311,sne_ia,mu,15.862,32.2368
0.0161,33.8975,0.264562,sne_ia,mu,15.862,32.2368
0.01671,34.4894,0.310314,sne_ia,mu,46.2858,37.9
0.01678,34.3409,0.228387,sne_ia,mu,35.8049,-4.5172
0.01673,34.0755,0.297815,sne_ia,mu,94.0542,57.0525
0.01661,34.1973,0.214463,sne_ia,mu,191.381,54.7381
0.01658,34.022,0.308995,sne_ia,mu,358.387,8.1174
0.01658,34.2003,0.325329,sne_ia,mu,358.387,8.1174
0.01697,34.6084,0.219814,sne_ia,mu,334.049,37.4738
0.01649,34.1436,0.28269,sne_ia,mu,16.848,32.4064
0.01649,34.1517,0.257136,sne_ia,mu,16.848,32.4064
0.0168,34.4009,0.221698,sne_ia,mu,359.218,5.5088
0.0168,34.5101,0.231239,sne_ia,mu,359.218,5.5088
0.01694,34.361,0.220285,sne_ia,mu,31.0813,-8.7284
0.01709,34.31,0.263557,sne_ia,mu,104.298,20.4371
0.01709,34.2669,0.262425,sne_ia,mu,104.298,20.4371
0.01646,33.7799,0.330633,sne_ia,mu,6.3194,12.8868
0.01774,34.3228,0.200241,sne_ia,mu,171.014,-12.2914
0.01774,34.3133,0.19782,sne_ia,mu,171.014,-12.2914
0.01718,34.1465,0.231417,sne_ia,mu,275.656,15.7021
0.01748,34.2221,0.320412,sne_ia,mu,142.787,46.3848
0.01734,34.3364,0.210115,sne_ia,mu,49.3194,41.3827
0.01734,34.2464,0.213428,sne_ia,mu,49.3194,41.3827
0.01739,34.2939,0.246602,sne_ia,mu,32.3214,-23.4124
0.01739,34.2418,0.22287,sne_ia,mu,32.3214,-23.4124
0.01765,34.2975,0.318912,sne_ia,mu,15.4335,-15.5692
0.01791,34.2661,0.234211,sne_ia,mu,141.9,-80.1776
0.01805,34.6078,0.20147,sne_ia,mu,20.4925,-34.212
0.01918,34.9792,0.21848,sne_ia,mu,194.85,27.9964
0.01791,34.2005,0.280568,sne_ia,mu,141.9,-80.1776
0.01796,34.4393,0.226901,sne_ia,mu,33.9935,12.2372
0.01925,34.492,0.255362,sne_ia,mu,213.905,14.2802
0.01925,34.576,0.296243,sne_ia,mu,213.905,14.2802
0.01851,34.6171,0.238984,sne_ia,mu,227.956,46.251
0.01851,34.5716,0.239989,sne_ia,mu,227.956,46.251
0.01902,34.6066,0.277471,sne_ia,mu,291.087,-25.9846
0.01822,34.5466,0.215514,sne_ia,mu,334.331,35.5806
0.01822,34.4866,0.321023,sne_ia,mu,334.331,35.5806
0.01839,34.4286,0.281407,sne_ia,mu,102.653,31.1124
0.01955,34.7747,0.195403,sne_ia,mu,55.4603,8.1569
0.01955,34.8085,0.195531,sne_ia,mu,55.4603,8.1569
0.01835,34.757,0.466611,sne_ia,mu,36.3734,41.8431
0.01835,34.7394,0.433516,sne_ia,mu,36.3734,41.8431
0.01992,34.6865,0.406241,sne_ia,mu,107.942,49.8537
0.01855,34.3648,0.295725,sne_ia,mu,37.6655,42.236
0.01948,34.6854,0.204275,sne_ia,mu,99.3138,49.8528
0.01976,34.5121,0.199486,sne_ia,mu,46.3169,-39.5596
0.02033,34.5072,0.233893,sne_ia,mu,177.267,-9.7291
0.02033,34.702,0.19246,sne_ia,mu,177.267,-9.7291
0.01926,34.5995,0.188309,sne_ia,mu,9.749,-9.0157
0.01926,34.5012,0.295566,sne_ia,mu,9.749,-9.0157
0.01926,34.576,0.189903,sne_ia,mu,9.749,-9.0157
0.01926,34.6482,0.187832,sne_ia,mu,9.749,-9.0157
0.0187,34.9988,0.187715,sne_ia,mu,20.3178,40.4987
0.02019,34.8165,0.241825,sne_ia,mu,317.283,-18.1039
0.02019,34.5749,0.375822,sne_ia,mu,317.283,-18.1039
0.02066,34.5709,0.187708,sne_ia,mu,160.118,9.2023
0.02066,34.5656,0.177716,sne_ia,mu,160.118,9.2023
0.02066,34.4931,0.19075,sne_ia,mu,160.118,9.2023
0.02121,34.6552,0.214591,sne_ia,mu,198.887,3.5007
0.01983,35.1263,0.375783,sne_ia,mu,320.257,9.1807
0.02039,34.556,0.333904,sne_ia,mu,240.714,47.2248
0.02061,34.4168,0.217156,sne_ia,mu,27.177,-48.6494
0.02014,34.5647,0.249505,sne_ia,mu,268.026,21.566
0.02079,34.4863,0.330445,sne_ia,mu,38.1644,0.6195
0.02087,34.674,0.230899,sne_ia,mu,146.706,16.0438
0.02087,34.6349,0.254511,sne_ia,mu,146.706,16.0438
0.02046,34.8118,0.300223,sne_ia,mu,277.607,34.1036
0.02001,34.6956,0.216494,sne_ia,mu,292.252,-51.971
0.01993,34.6693,0.230687,sne_ia,mu,5.3461,22.4354
0.02093,34.375,0.203089,sne_ia,mu,267.051,17.6256
0.02207,34.8194,0.196425,sne_ia,mu,225.945,-3.3046
0.02146,35.118,0.310686,sne_ia,mu,145.814,36.2844
0.02146,35.2056,0.304103,sne_ia,mu,145.814,36.2844
0.02187,34.7561,0.180584,sne_ia,mu,169.811,20.809
0.02187,34.7344,0.177177,sne_ia,mu,169.811,20.809
0.02187,34.7419,0.187753,sne_ia,mu,169.811,20.809
0.01978,34.7627,0.339971,sne_ia,mu,49.9771,41.565
0.02179,34.3468,0.19901,sne_ia,mu,237.801,25.7078
0.02017,34.5899,0.199177,sne_ia,mu,18.8255,-6.859
0.02104,34.6114,0.393324,sne_ia,mu,126.784,27.8116
0.02157,34.7709,0.195863,sne_ia,mu,52.3194,-23.9786
0.0214,34.7583,0.283448,sne_ia,mu,10.6909,-23.5584
0.0214,34.7742,0.253646,sne_ia,mu,10.6909,-23.5584
0.02263,34.8589,0.246447,sne_ia,mu,227.868,13.4849
0.02245,34.9654,0.216973,sne_ia,mu,257.761,5.8411
0.02193,34.6739,0.247785,sne_ia,mu,41.4535,3.2306
0.02209,34.7477,0.199095,sne_ia,mu,161.756,26.5439
0.02202,34.8847,0.186029,sne_ia,mu,269.418,50.0386
0.02238,35.0481,0.288632,sne_ia,mu,44.3919,5.9782
0.02292,35.0136,0.216159,sne_ia,mu,202.303,11.2724
0.02161,34.8059,0.18018,sne_ia,mu,355.449,-3.669
0.02161,34.8234,0.25811,sne_ia,mu,355.449,-3.669
0.02257,34.9245,0.169837,sne_ia,mu,132.647,-61.2779
0.02214,34.7727,0.199004,sne_ia,mu,170.256,21.3398
0.02214,34.8704,0.204479,sne_ia,mu,170.256,21.3398
0.02217,34.7814,0.224663,sne_ia,mu,272.71,31.109
0.02334,34.7714,0.302654,sne_ia,mu,184.812,22.4273
0.02334,34.8603,0.24312,sne_ia,mu,184.812,22.4273
0.02181,34.759,0.288719,sne_ia,mu,108.874,23.4284
0.02181,34.7997,0.25527,sne_ia,mu,108.874,23.4284
0.02253,35.0392,0.214526,sne_ia,mu,47.6437,4.2697
0.02253,34.7306,0.243141,sne_ia,mu,47.6437,4.2697
0.02382,34.8438,0.220547,sne_ia,mu,208.528,9.4128
0.02226,34.8693,0.2033,sne_ia,mu,279.995,39.9824
0.02224,34.6849,0.358325,sne_ia,mu,357.873,-13.3796
0.02368,35.2685,0.304874,sne_ia,mu,202.354,11.7962
